date,AAPL.Close
1/2/2015,109.33
1/5/2015,106.25
1/6/2015,106.26
1/7/2015,107.75
1/8/2015,111.89
1/9/2015,112.01
1/12/2015,109.25
1/13/2015,110.22
1/14/2015,109.8
1/15/2015,106.82
1/16/2015,105.99
1/20/2015,108.72
1/21/2015,109.55
1/22/2015,112.4
1/23/2015,112.98
1/26/2015,113.1
1/27/2015,109.14
1/28/2015,115.31
1/29/2015,118.9
1/30/2015,117.16
2/2/2015,118.63
2/3/2015,118.65
2/4/2015,119.56
2/5/2015,119.94
2/6/2015,118.93
2/9/2015,119.72
2/10/2015,122.02
2/11/2015,124.88
2/12/2015,126.46
2/13/2015,127.08
2/17/2015,127.83
2/18/2015,128.72
2/19/2015,128.45
2/20/2015,129.5
2/23/2015,133
2/24/2015,132.17
2/25/2015,128.79
2/26/2015,130.42
2/27/2015,128.46
3/2/2015,129.09
3/3/2015,129.36
3/4/2015,128.54
3/5/2015,126.41
3/6/2015,126.6
3/9/2015,127.14
3/10/2015,124.51
3/11/2015,122.24
3/12/2015,124.45
3/13/2015,123.59
3/16/2015,124.95
3/17/2015,127.04
3/18/2015,128.47
3/19/2015,127.5
3/20/2015,125.9
3/23/2015,127.21
3/24/2015,126.69
3/25/2015,123.38
3/26/2015,124.24
3/27/2015,123.25
3/30/2015,126.37
3/31/2015,124.43
4/1/2015,124.25
4/2/2015,125.32
4/6/2015,127.35
4/7/2015,126.01
4/8/2015,125.6
4/9/2015,126.56
4/10/2015,127.1
4/13/2015,126.85
4/14/2015,126.3
4/15/2015,126.78
4/16/2015,126.17
4/17/2015,124.75
4/20/2015,127.6
4/21/2015,126.91
4/22/2015,128.62
4/23/2015,129.67
4/24/2015,130.28
4/27/2015,132.65
4/28/2015,130.56
4/29/2015,128.64
4/30/2015,125.15
5/1/2015,128.95
5/4/2015,128.7
5/5/2015,125.8
5/6/2015,125.01
5/7/2015,125.26
5/8/2015,127.62
5/11/2015,126.32
5/12/2015,125.87
5/13/2015,126.01
5/14/2015,128.95
5/15/2015,128.77
5/18/2015,130.19
5/19/2015,130.07
5/20/2015,130.06
5/21/2015,131.39
5/22/2015,132.54
5/26/2015,129.62
5/27/2015,132.04
5/28/2015,131.78
5/29/2015,130.28
6/1/2015,130.54
6/2/2015,129.96
6/3/2015,130.12
6/4/2015,129.36
6/5/2015,128.65
6/8/2015,127.8
6/9/2015,127.42
6/10/2015,128.88
6/11/2015,128.59
6/12/2015,127.17
6/15/2015,126.92
6/16/2015,127.6
6/17/2015,127.3
6/18/2015,127.88
6/19/2015,126.6
6/22/2015,127.61
6/23/2015,127.03
6/24/2015,128.11
6/25/2015,127.5
6/26/2015,126.75
6/29/2015,124.53
6/30/2015,125.43
7/1/2015,126.6
7/2/2015,126.44
7/6/2015,126
7/7/2015,125.69
7/8/2015,122.57
7/9/2015,120.07
7/10/2015,123.28
7/13/2015,125.66
7/14/2015,125.61
7/15/2015,126.82
7/16/2015,128.51
7/17/2015,129.62
7/20/2015,132.07
7/21/2015,130.75
7/22/2015,125.22
7/23/2015,125.16
7/24/2015,124.5
7/27/2015,122.77
7/28/2015,123.38
7/29/2015,122.99
7/30/2015,122.37
7/31/2015,121.3
8/3/2015,118.44
8/4/2015,114.64
8/5/2015,115.4
8/6/2015,115.13
8/7/2015,115.52
8/10/2015,119.72
8/11/2015,113.49
8/12/2015,115.24
8/13/2015,115.15
8/14/2015,115.96
8/17/2015,117.16
8/18/2015,116.5
8/19/2015,115.01
8/20/2015,112.65
8/21/2015,105.76
8/24/2015,103.12
8/25/2015,103.74
8/26/2015,109.69
8/27/2015,112.92
8/28/2015,113.29
8/31/2015,112.76
